topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_edc1d610,20.0,8.86,15.21,44.07,0.000,0.000,0.000,0.000,0.000,44.070,ok,
B,scenario_edd9541a,20.0,7.96,3.0,30.96,0.000,0.000,0.000,0.000,0.000,30.960,ok,
B,scenario_ee4b5798,20.0,6.47,21.13,47.59,5.000,5.018,4.973,5.000,19.991,67.581,ok,
B,scenario_eecedd84,20.0,7.81,6.0,33.81,0.000,0.000,0.000,0.000,0.000,33.810,ok,
B,scenario_eed836ee,20.0,6.16,0.0,26.16,0.000,0.000,0.000,0.000,0.000,26.160,ok,
B,scenario_ef9adf34,20.0,5.05,0.0,25.05,0.000,0.000,0.000,0.000,0.000,25.050,ok,
B,scenario_efdc43e6,20.0,5.23,15.22,40.45,0.000,0.000,0.000,0.000,0.000,40.450,ok,
B,scenario_efe63835,20.0,6.45,15.31,41.76,0.000,0.000,0.000,0.000,0.000,41.760,ok,
B,scenario_f0396d1f,20.0,6.77,18.32,45.09,5.000,0.000,0.000,0.000,5.000,50.090,ok,
B,scenario_f07bbcd0,20.0,5.78,17.3,43.08,5.000,0.000,0.000,0.000,5.000,48.080,ok,
B,scenario_f1e0ac40,20.0,5.75,22.17,47.91,5.000,5.067,4.556,5.306,19.929,67.839,ok,
B,scenario_f32e4b4b,20.0,4.91,0.0,24.91,0.000,0.000,0.000,0.000,0.000,24.910,ok,
B,scenario_f38f0f4d,20.0,7.98,0.0,27.98,4.949,5.043,4.841,5.000,19.833,47.813,ok,
B,scenario_f3b1d6ff,0.0,5.89,0.0,5.89,5.000,0.000,0.000,0.000,5.000,10.890,ok,
B,scenario_f5a99a85,20.0,6.84,3.0,29.84,0.000,0.000,0.000,0.000,0.000,29.840,ok,
B,scenario_f6404e3c,20.0,7.35,19.41,46.76,0.000,0.000,0.000,0.000,0.000,46.760,ok,
B,scenario_f68b5010,20.0,5.83,17.34,43.17,5.000,0.000,0.000,0.000,5.000,48.170,ok,
B,scenario_f6fda205,20.0,3.4,15.25,38.65,0.000,0.000,0.000,0.000,0.000,38.650,ok,
B,scenario_f79c76af,20.0,6.57,1.5,28.07,5.000,0.000,0.000,0.000,5.000,33.070,ok,
B,scenario_fa369f0f,20.0,5.73,0.0,25.73,0.000,0.000,0.000,0.000,0.000,25.730,ok,
B,scenario_fad5cd68,20.0,5.34,0.0,25.34,0.000,0.000,0.000,0.000,0.000,25.340,ok,
B,scenario_fafda50a,20.0,4.98,0.0,24.98,5.000,0.000,0.000,0.000,5.000,29.980,ok,
B,scenario_fc5c0094,20.0,6.86,19.6,46.46,0.000,0.000,0.000,0.000,0.000,46.460,ok,
B,scenario_fccd0291,20.0,5.73,0.0,25.73,4.847,5.095,4.885,5.000,19.827,45.557,ok,
B,scenario_fd8a80d9,20.0,6.52,3.0,29.52,5.000,0.000,0.000,0.000,5.000,34.520,ok,
B,scenario_fe454d08,20.0,6.12,0.0,26.12,4.847,5.069,4.770,5.000,19.686,45.806,ok,
B,scenario_fe7615ae,20.0,6.16,15.73,41.89,4.949,5.138,4.800,4.919,19.806,61.696,ok,
B,AVERAGE,18.178,6.393,7.963,32.533,2.485,1.406,1.373,1.412,6.675,39.208,AVERAGE,
