topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_77c0a6b8,20.0,7.02,0.0,27.02,5.000,5.026,6.000,5.000,21.026,48.046,ok,
B,scenario_78033e4d,20.0,6.37,0.0,26.37,5.000,5.025,5.370,5.000,20.395,46.765,ok,
B,scenario_79e34cee,20.0,6.96,15.23,42.19,4.500,2.413,6.809,4.844,18.566,60.756,ok,
B,scenario_79ec966c,20.0,9.53,15.2,44.72,4.949,4.987,7.308,5.000,22.244,66.964,ok,
B,scenario_7a58eeb1,20.0,6.69,15.53,42.22,5.000,5.061,6.250,4.397,20.708,62.928,ok,
B,scenario_7a83eac5,20.0,6.9,16.61,43.51,10.000,5.014,6.170,5.000,26.184,69.694,ok,
B,scenario_7ad21b9b,20.0,5.51,0.0,25.51,4.800,5.290,7.697,4.407,22.194,47.704,ok,
B,scenario_7b38cbc9,20.0,6.25,19.07,45.33,9.750,4.695,8.174,4.661,27.280,72.610,ok,
B,scenario_7c37dfe6,20.0,5.14,0.0,25.14,5.000,5.043,6.389,5.000,21.432,46.572,ok,
B,scenario_7c57985e,20.0,4.13,16.02,40.15,5.000,5.018,6.600,5.000,21.618,61.768,ok,
B,scenario_7c93f38a,20.0,6.69,15.37,42.07,4.900,2.270,7.818,5.536,20.524,62.594,ok,
B,scenario_7cd987fb,20.0,7.21,0.0,27.21,5.000,5.035,6.176,5.000,21.211,48.421,ok,
B,scenario_7f7101e7,20.0,8.41,0.0,28.41,5.000,5.015,6.087,5.000,21.102,49.512,ok,
B,scenario_7fe80110,20.0,8.85,1.5,30.35,5.000,4.826,6.500,5.156,21.482,51.832,ok,
B,scenario_80280895,20.0,8.24,0.0,28.24,5.000,5.008,5.833,5.000,20.841,49.081,ok,
B,scenario_80499ac4,20.0,7.2,0.0,27.2,5.000,5.041,5.926,4.811,20.778,47.978,ok,
B,scenario_80afd675,0.0,6.86,0.0,6.86,5.000,5.000,5.065,5.385,20.450,27.310,ok,
B,scenario_816ff8fe,20.0,7.34,3.0,30.34,6.000,5.083,6.974,4.500,22.557,52.897,ok,
B,scenario_81b7ac51,20.0,6.58,1.5,28.08,5.000,5.008,6.136,5.000,21.144,49.224,ok,
B,scenario_822190b1,20.0,7.3,16.14,43.43,5.000,4.988,6.250,5.000,21.238,64.668,ok,
B,scenario_823c8fa1,20.0,9.96,15.48,45.44,5.000,5.039,5.833,4.643,20.515,65.955,ok,
B,scenario_82982ca4,20.0,5.38,0.0,25.38,5.000,5.007,5.122,5.000,20.129,45.509,ok,
B,scenario_82b6f220,20.0,5.34,16.72,42.06,9.900,5.103,8.675,6.154,29.832,71.892,ok,
