topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_32ddfe31,20.0,5.86,0.0,25.86,3.333,3.423,4.751,3.417,14.924,40.784,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_32fe0532,20.0,4.19,9.0,33.19,5.615,5.026,5.577,5.0,21.218,54.408,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_33804069,20.0,4.97,17.67,42.63,3.333,3.333,3.07,3.333,13.069,55.699,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_33f6d640,20.0,6.57,0.0,26.57,3.333,4.562,3.819,3.302,15.016,41.586,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_344271cf,0.0,6.89,0.0,6.89,3.833,2.749,4.246,3.31,14.138,21.028,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_34d93811,20.0,6.87,20.56,47.43,3.333,3.703,3.609,3.503,14.148,61.578,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_34ebde5d,20.0,5.25,0.0,25.25,6.533,5.799,6.733,4.93,23.995,49.245,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3540234a,20.0,6.72,20.82,47.54,5.0,3.657,3.626,2.954,15.237,62.777,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_356cf20d,20.0,6.37,1.5,27.87,4.933,3.42,5.1,3.4,16.853,44.723,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3608423c,20.0,6.15,21.38,47.53,3.333,4.941,4.766,4.934,17.974,65.504,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_366bed0e,20.0,6.29,1.5,27.79,4.167,3.45,5.333,3.242,16.192,43.982,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
