topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_6a902e67,20.0,4.94,19.55,44.49,5.0,5.029,5.04,5.401,20.47,64.96,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6b0a80ad,20.0,8.2,9.0,37.2,5.0,3.329,3.544,3.273,15.146,52.346,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6c1f361f,20.0,5.61,0.0,25.61,4.167,3.364,4.181,3.497,15.209,40.819,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6d47d473,20.0,8.34,16.42,44.76,6.0,5.049,6.487,5.0,22.536,67.296,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6dbaa517,20.0,5.54,6.0,31.54,3.838,4.141,4.746,3.714,16.439,47.979,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6ddac3a6,20.0,5.57,20.48,46.04,3.333,3.505,2.852,2.851,12.541,58.581,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6e47d804,20.0,7.97,15.9,43.87,5.667,5.137,6.143,4.904,21.851,65.721,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6eb5cda1,20.0,5.0,20.5,45.5,5.0,2.138,3.977,3.497,14.612,60.112,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_6f9fe361,20.0,6.38,15.13,41.51,5.0,4.974,5.089,5.009,20.072,61.582,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_703f0018,20.0,5.05,20.55,45.6,3.333,3.785,4.895,2.707,14.72,60.32,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_722009a5,20.0,3.55,1.5,25.05,5.0,5.015,6.01,5.067,21.092,46.142,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_72533ede,20.0,5.41,1.5,26.91,3.333,3.399,3.122,3.311,13.165,40.075,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_726dff71,20.0,8.39,15.34,43.73,3.231,2.49,4.699,3.246,13.666,57.396,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_735f42fe,20.0,10.0,15.32,45.32,3.317,2.752,4.763,3.604,14.436,59.756,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_742853c0,20.0,6.0,0.0,26.0,3.333,3.34,3.074,3.274,13.021,39.021,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_74388bcf,20.0,4.81,1.5,26.31,3.333,3.353,4.64,3.439,14.765,41.075,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7492b459,20.0,2.91,0.0,22.91,4.932,5.047,5.3,5.0,20.279,43.189,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_755778af,20.0,6.36,19.15,45.51,5.0,2.832,3.768,3.132,14.732,60.242,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_76853f42,20.0,5.11,0.0,25.11,4.167,2.154,4.008,0.833,11.162,36.272,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_76950bb4,20.0,5.05,7.5,32.55,3.333,3.333,3.11,3.312,13.088,45.638,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_77785fd4,20.0,7.63,0.0,27.63,5.0,3.167,4.655,3.961,16.783,44.413,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_77aee777,0.0,5.35,0.0,5.35,6.667,2.745,5.577,3.155,18.144,23.494,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_77c0a40b,20.0,5.45,0.0,25.45,3.3,2.225,4.74,1.667,11.932,37.382,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_77c0a6b8,20.0,7.02,0.0,27.02,3.333,3.353,4.172,3.333,14.191,41.211,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_78033e4d,20.0,6.37,0.0,26.37,6.042,5.019,5.669,5.0,21.73,48.1,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_79e34cee,20.0,6.96,15.23,42.19,5.5,4.233,5.562,4.894,20.189,62.379,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_79ec966c,20.0,9.53,15.2,44.72,5.539,4.998,5.642,5.0,21.179,65.899,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7a58eeb1,20.0,6.69,15.53,42.22,3.316,3.592,3.682,3.199,13.789,56.009,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7a83eac5,20.0,6.9,16.61,43.51,5.0,3.289,3.593,3.333,15.215,58.725,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7ad21b9b,20.0,5.51,0.0,25.51,3.267,2.941,3.785,3.169,13.162,38.672,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7b38cbc9,20.0,6.25,19.07,45.33,3.25,2.822,4.038,3.188,13.298,58.628,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7c37dfe6,20.0,5.14,0.0,25.14,3.333,3.367,4.749,3.333,14.782,39.922,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7c57985e,20.0,4.13,16.02,40.15,4.983,5.075,6.077,5.0,21.135,61.285,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7c93f38a,20.0,6.69,15.37,42.07,3.283,2.604,5.135,3.49,14.512,56.582,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7cd987fb,20.0,7.21,0.0,27.21,3.333,3.432,4.157,3.333,14.255,41.465,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7f7101e7,20.0,8.41,0.0,28.41,3.333,3.351,4.047,3.333,14.064,42.474,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_7fe80110,20.0,8.85,1.5,30.35,3.889,3.302,4.204,3.362,14.757,45.107,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_80280895,20.0,8.24,0.0,28.24,6.65,6.374,5.628,4.977,23.629,51.869,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_80499ac4,20.0,7.2,0.0,27.2,6.667,4.437,5.075,4.12,20.299,47.499,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_80afd675,0.0,6.86,0.0,6.86,5.0,5.002,4.995,5.106,20.103,26.963,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_816ff8fe,20.0,7.34,3.0,30.34,3.667,3.156,3.972,3.204,13.999,44.339,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_81b7ac51,20.0,6.58,1.5,28.08,4.948,5.029,5.294,5.0,20.271,48.351,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_822190b1,20.0,7.3,16.14,43.43,5.0,5.016,5.799,5.0,20.815,64.245,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_823c8fa1,20.0,9.96,15.48,45.44,3.333,3.721,3.174,3.281,13.509,58.949,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_82982ca4,20.0,5.38,0.0,25.38,5.0,3.325,3.547,3.333,15.205,40.585,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_82b6f220,20.0,5.34,16.72,42.06,4.967,2.871,4.209,3.432,15.479,57.539,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_84f30c9e,20.0,5.53,20.46,45.99,5.0,2.6,5.504,3.21,16.314,62.304,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_850870ec,20.0,5.79,20.65,46.43,3.3,2.546,4.232,3.307,13.385,59.815,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8548fc84,20.0,4.93,3.0,27.93,4.966,5.939,5.599,5.539,22.043,49.973,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8556213f,20.0,6.15,15.86,42.01,5.0,1.777,5.744,3.563,16.084,58.094,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8618bba2,20.0,3.97,0.0,23.97,4.361,3.699,3.757,3.311,15.128,39.098,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_868609bd,20.0,8.27,19.77,48.04,3.3,2.287,4.736,3.393,13.716,61.756,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_87c18500,20.0,7.86,1.5,29.36,3.333,3.516,3.173,3.418,13.44,42.8,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_87d47478,0.0,5.5,0.0,5.5,3.231,4.008,4.484,3.176,14.899,20.399,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_880a576e,20.0,3.71,7.5,31.21,4.895,5.081,5.64,4.948,20.564,51.774,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_88872d5b,20.0,4.07,16.01,40.08,5.0,5.047,5.758,5.0,20.805,60.885,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8901713c,20.0,6.9,16.7,43.61,4.767,4.487,4.013,2.998,16.265,59.875,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_89388f7a,20.0,5.58,0.0,25.58,3.141,3.348,4.329,3.289,14.107,39.687,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_89b39298,0.0,8.7,0.0,8.7,5.0,4.811,5.131,4.94,19.882,28.582,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8ae9ce06,20.0,6.3,16.05,42.35,3.3,3.113,4.098,3.147,13.658,56.008,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8b506b7a,20.0,6.8,15.06,41.86,5.816,5.095,5.475,5.0,21.386,63.246,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8bada83a,20.0,6.24,15.54,41.78,5.0,5.009,5.733,5.0,20.742,62.522,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8c7269ab,20.0,9.99,22.36,52.36,5.0,3.356,3.69,3.301,15.347,67.707,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8c98c0cc,20.0,5.41,15.58,40.99,5.0,5.048,5.849,4.973,20.87,61.86,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8cfd39fc,0.0,5.28,0.0,5.28,3.283,3.535,4.941,3.482,15.241,20.521,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8db93a3f,20.0,9.34,0.0,29.34,4.983,5.041,6.45,5.0,21.474,50.814,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8deaa9e1,20.0,6.78,22.65,49.43,4.966,1.897,4.854,3.599,15.316,64.746,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8e059517,0.0,5.44,0.0,5.44,4.297,5.447,3.665,4.104,17.513,22.953,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8ef5c393,20.0,6.23,17.01,43.23,4.167,3.097,4.813,3.44,15.517,58.747,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8f0fb266,20.0,7.48,1.5,28.98,4.95,3.926,5.999,5.062,19.937,48.917,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8f22ea78,20.0,6.47,0.0,26.47,5.524,3.344,4.504,3.343,16.715,43.185,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8f5fa696,20.0,5.86,15.42,41.28,4.567,3.413,4.034,3.128,15.142,56.422,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8fa19fa4,20.0,6.91,15.0,41.91,0.0,2.189,2.706,3.093,7.988,49.898,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_8fa5c7b5,20.0,5.68,0.0,25.68,6.582,2.734,5.831,4.904,20.051,45.731,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_90103bb1,20.0,5.35,21.13,46.48,3.333,3.349,3.861,3.333,13.876,60.356,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_90112f81,20.0,10.0,17.39,47.39,3.316,3.439,3.992,3.333,14.08,61.47,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_90e4d399,0.0,8.7,0.0,8.7,5.0,5.051,5.052,5.094,20.197,28.897,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9111d3dd,20.0,7.5,18.83,46.33,5.0,5.005,5.083,5.062,20.15,66.48,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9117e060,20.0,7.97,1.5,29.47,4.983,4.971,5.76,5.0,20.714,50.184,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_92aa7271,20.0,5.89,15.61,41.49,3.3,3.994,2.837,3.091,13.222,54.712,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_92b91deb,20.0,8.63,3.0,31.63,5.952,5.071,5.729,4.921,21.673,53.303,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_935c6411,20.0,6.35,16.49,42.84,4.167,3.336,4.633,3.289,15.425,58.265,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_936e00c6,20.0,7.19,1.5,28.69,5.0,3.357,3.797,3.083,15.237,43.927,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_93908611,0.0,6.34,0.0,6.34,5.0,3.47,4.111,3.141,15.722,22.062,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_941ed63d,20.0,5.45,4.5,29.95,1.667,3.381,3.874,4.118,13.04,42.99,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_946919b8,20.0,5.32,0.0,25.32,6.55,3.773,5.673,4.667,20.663,45.983,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9566999b,0.0,7.08,0.0,7.08,5.0,1.873,4.226,3.869,14.968,22.048,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_96027a5f,20.0,6.95,9.0,35.95,5.023,1.823,4.507,2.419,13.772,49.722,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9667df35,20.0,8.42,1.5,29.92,4.899,4.237,5.765,4.894,19.795,49.715,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_973d26b8,20.0,4.8,0.0,24.8,3.3,4.948,4.331,3.333,15.912,40.712,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_97848584,20.0,5.29,0.0,25.29,1.667,5.517,4.452,5.0,16.636,41.926,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_979769b6,20.0,5.37,20.47,45.85,6.667,3.312,4.711,2.789,17.479,63.329,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_991dc8ed,20.0,8.35,15.24,43.59,3.281,2.47,4.572,3.295,13.618,57.208,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99681ac3,20.0,6.35,18.24,44.58,5.0,5.023,5.143,4.855,20.021,64.601,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99738530,20.0,5.85,20.54,46.39,4.55,3.834,4.563,4.091,17.038,63.428,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99801610,20.0,2.22,0.0,22.22,5.0,5.045,5.507,4.973,20.525,42.745,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99c0ce8b,20.0,4.73,0.0,24.73,4.983,4.311,5.435,3.452,18.181,42.911,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99d61b1f,20.0,5.57,0.0,25.57,4.917,5.234,5.468,5.174,20.793,46.363,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_99f1fbcb,20.0,5.7,9.0,34.7,5.0,4.989,4.947,5.084,20.02,54.72,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9a43ce6f,20.0,6.05,0.0,26.05,3.3,3.736,4.558,3.352,14.946,40.996,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9b372474,20.0,5.33,0.0,25.33,3.25,3.327,3.954,0.833,11.364,36.694,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9da91d2e,0.0,5.3,0.0,5.3,4.967,5.959,5.703,4.853,21.482,26.782,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9dd8351f,20.0,9.98,15.31,45.29,3.333,3.352,3.854,3.372,13.911,59.201,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9e7e7417,0.0,6.45,0.0,6.45,6.667,2.07,5.355,3.59,17.682,24.132,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9eb6b12f,20.0,9.94,15.91,45.84,5.667,5.1,5.37,4.973,21.11,66.95,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9f47dd42,20.0,6.21,15.41,41.62,5.0,3.403,4.059,3.333,15.795,57.415,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9fa7985a,20.0,5.08,0.0,25.08,3.333,3.443,4.671,3.376,14.823,39.903,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_9fbcd5ad,20.0,6.65,0.0,26.65,4.66,4.325,4.382,3.733,17.1,43.75,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a03ee802,20.0,6.74,16.05,42.79,4.167,3.528,4.519,3.333,15.547,58.337,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a058d790,20.0,6.38,21.27,47.64,4.098,3.303,4.716,3.333,15.45,63.09,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a121258f,20.0,5.31,20.45,45.76,2.0,3.051,3.168,0.833,9.052,54.812,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a16f5138,20.0,6.13,19.81,45.94,4.917,3.509,3.45,3.191,15.067,61.007,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a1d4d074,0.0,5.0,0.0,5.0,3.317,2.886,3.786,3.009,12.998,17.998,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a248c58c,20.0,7.0,15.24,42.23,4.444,3.329,4.245,3.44,15.458,57.688,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a2fbaecf,20.0,5.47,0.0,25.47,3.249,4.549,5.051,3.542,16.391,41.861,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a3fef3d8,20.0,9.65,0.0,29.65,3.889,3.283,4.222,3.393,14.787,44.437,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a5158a54,20.0,8.0,15.44,43.44,6.567,5.021,6.031,5.0,22.619,66.059,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a541739b,20.0,6.58,0.0,26.58,4.949,4.752,3.817,3.221,16.739,43.319,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a54d5303,20.0,5.07,0.0,25.07,4.948,5.029,5.368,5.007,20.352,45.422,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a5b22171,20.0,9.98,21.1,51.09,3.316,3.264,4.177,3.333,14.09,65.18,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a5c543b3,20.0,6.89,9.0,35.89,5.0,5.026,5.193,5.0,20.219,56.109,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a5d4da68,20.0,4.99,0.0,24.99,3.333,2.972,4.274,1.667,12.246,37.236,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a5fe9718,20.0,6.88,0.0,26.88,5.357,3.407,4.246,3.333,16.343,43.223,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a698ee7a,20.0,6.37,9.0,35.37,7.25,5.024,6.727,5.0,24.001,59.371,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a6c91037,20.0,5.8,9.0,34.8,4.817,3.552,4.87,3.373,16.612,51.412,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a705fbac,20.0,7.1,20.69,47.78,5.0,3.61,4.732,4.151,17.493,65.273,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a748a2ce,0.0,6.35,0.0,6.35,3.3,4.047,4.007,3.109,14.463,20.813,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a7f406ff,20.0,9.02,3.0,32.02,3.889,4.908,5.371,4.946,19.114,51.134,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a995f879,20.0,6.47,19.43,45.9,3.889,3.402,4.755,3.375,15.421,61.321,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a9b9dc94,20.0,6.28,15.04,41.31,5.0,3.406,3.631,3.333,15.37,56.68,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_a9eddd46,20.0,8.18,4.5,32.68,5.0,5.02,4.997,5.045,20.062,52.742,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_aab9ccaf,20.0,6.45,15.11,41.56,3.333,3.353,4.807,3.504,14.997,56.557,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_aaf55bf3,20.0,6.85,15.03,41.88,5.0,4.96,5.496,5.0,20.456,62.336,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_aaf841d3,0.0,5.21,0.0,5.21,3.299,1.99,4.014,3.587,12.89,18.1,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_abe91e1c,20.0,6.75,17.54,44.29,4.889,3.333,4.883,3.378,16.483,60.773,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ac4861e3,20.0,6.48,0.0,26.48,5.0,1.796,4.088,3.902,14.786,41.266,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_accad5a8,20.0,6.72,21.92,48.64,5.0,4.952,5.184,5.039,20.175,68.815,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_add0c02b,20.0,6.69,17.88,44.57,5.0,5.116,4.912,5.011,20.039,64.609,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_add78464,20.0,7.6,17.63,45.22,3.333,3.382,4.008,3.333,14.056,59.276,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae096074,20.0,4.96,0.0,24.96,1.667,3.457,2.712,3.207,11.043,36.003,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae109c4b,20.0,6.93,15.93,42.86,4.798,4.657,5.58,5.097,20.132,62.992,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae52b2a1,20.0,6.55,21.32,47.87,6.617,3.37,4.64,3.4,18.027,65.897,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae673ff5,20.0,6.63,0.0,26.63,5.498,4.225,5.518,4.948,20.189,46.819,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae80b87f,20.0,5.61,16.09,41.7,4.95,4.221,5.956,5.062,20.189,61.889,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_ae985bd8,20.0,6.04,15.39,41.44,3.264,3.951,4.953,3.271,15.439,56.879,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_aec3a4f2,20.0,6.41,0.0,26.41,3.333,3.595,3.247,3.272,13.447,39.857,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_aeed2dd7,20.0,4.8,21.82,46.63,5.0,3.414,3.722,3.452,15.588,62.218,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_af0b9890,20.0,8.57,15.11,43.68,3.316,3.455,4.448,3.333,14.552,58.232,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_af212110,0.0,5.98,0.0,5.98,3.333,2.57,3.001,3.468,12.372,18.352,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_affff8cd,20.0,9.98,22.52,52.5,5.0,3.372,3.604,3.212,15.188,67.688,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_b059afaf,20.0,5.12,6.0,31.12,6.6,3.219,4.954,3.071,17.844,48.964,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_b08f6210,20.0,5.24,0.0,25.24,3.333,2.129,4.59,1.667,11.719,36.959,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
