topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_8618bba2,20.0,3.97,0.0,23.97,8.333,9.058,4.968,4.932,27.291,51.261,ok,
B,scenario_868609bd,20.0,8.27,19.77,48.04,5.000,5.085,7.027,5.179,22.291,70.331,ok,
B,scenario_87c18500,20.0,7.86,1.5,29.36,0.000,5.520,3.593,5.700,14.813,44.173,ok,
B,scenario_87d47478,0.0,5.5,0.0,5.5,4.950,6.715,6.389,4.600,22.654,28.154,ok,
B,scenario_880a576e,20.0,3.71,7.5,31.21,5.000,5.067,5.263,5.000,20.330,51.540,ok,
B,scenario_88872d5b,20.0,4.07,16.01,40.08,5.000,5.035,6.400,5.000,21.435,61.515,ok,
B,scenario_8901713c,20.0,6.9,16.7,43.61,4.300,8.205,5.312,3.472,21.289,64.899,ok,
B,scenario_89388f7a,20.0,5.58,0.0,25.58,4.579,5.058,6.707,4.867,21.211,46.791,ok,
B,scenario_89b39298,0.0,8.7,0.0,8.7,5.000,4.627,5.312,5.071,20.010,28.710,ok,
B,scenario_8ae9ce06,20.0,6.3,16.05,42.35,0.000,4.509,3.758,4.603,12.870,55.220,ok,
B,scenario_8b506b7a,20.0,6.8,15.06,41.86,5.000,5.538,4.939,5.000,20.477,62.337,ok,
B,scenario_8bada83a,20.0,6.24,15.54,41.78,5.000,4.901,6.379,5.000,21.280,63.060,ok,
B,scenario_8c7269ab,20.0,9.99,22.36,52.36,5.000,5.050,5.625,4.904,20.579,72.939,ok,
B,scenario_8c98c0cc,20.0,5.41,15.58,40.99,5.000,5.000,7.037,5.000,22.037,63.027,ok,
B,scenario_8cfd39fc,0.0,5.28,0.0,5.28,4.900,5.388,7.000,4.700,21.988,27.268,ok,
B,scenario_8db93a3f,20.0,9.34,0.0,29.34,4.949,4.954,8.226,5.000,23.129,52.469,ok,
B,scenario_8deaa9e1,20.0,6.78,22.65,49.43,10.000,0.573,8.438,4.934,23.945,73.375,ok,
B,scenario_8e059517,0.0,5.44,0.0,5.44,4.890,8.551,6.053,6.169,25.663,31.103,ok,
B,scenario_8ef5c393,20.0,6.23,17.01,43.23,5.000,5.080,7.105,4.934,22.119,65.349,ok,
B,scenario_8f0fb266,20.0,7.48,1.5,28.98,5.000,4.551,6.200,5.000,20.751,49.731,ok,
B,scenario_8f22ea78,20.0,6.47,0.0,26.47,8.000,5.072,7.209,5.114,25.395,51.865,ok,
B,scenario_8f5fa696,20.0,5.86,15.42,41.28,4.950,5.206,5.645,4.527,20.328,61.608,ok,
B,scenario_8fa19fa4,20.0,6.91,15.0,41.91,0.000,5.364,3.542,5.100,14.006,55.916,ok,
B,scenario_8fa5c7b5,20.0,5.68,0.0,25.68,10.000,1.077,5.952,4.527,21.556,47.236,ok,
B,scenario_90103bb1,20.0,5.35,21.13,46.48,5.000,5.031,5.370,5.000,20.401,66.881,ok,
